Supplier,Supplier Item #,Garment Part,Material Description,Yield,Handling/Wastage,FOB Unit Cost,CIF Unit Cost
PP - EVERBEST DEVELOPMENT (HK),321520,Trims,Recycled Ripstape for hangtag,1,3%,0.040,-
PP - COATS LIMITED,310412,Workmanships,Thread,-,-,0.100,-
PP - TRIMCO GROUP (HONG KONG) CO.,319802,Labelling & Packaging,Carelabel,1,3%,0.058,0.02
PP - SML (HONG KONG) LIMITED,316887,Labelling & Packaging,China Size label,1,3%,0.022,0.003
PP - SML (HONG KONG) LIMITED,316587,Labelling & Packaging,China Warranty Sticker,1,3%,0.023,0.065
PP - SML (HONG KONG) LIMITED,319833,Hangtags,Hangtag,1,3%,0.064,0.011
PP - SML (HONG KONG) LIMITED,321108,Hangtags,Barcode sticker,2,3%,0.010, 0.002
PP - SML (HONG KONG) LIMITED,317067,Hangtags,SMS Hangtag,1,3%,0.077,-
-,-,Carton Sticker,Big Red Sticker(Carton Sticker)(170x180mm),1,3%,0.168,-
-,-,Carton Sticker,Blank Satin (30x60mm),1,3%,0.008,-
-,-,-,Recycled Polybag,1,3%,0.090,-
-,-,-,Dessicant,1,3%,0.020,-
PP - BENEFITS INDUSTRIAL LIMITED,319051,Labelling & Packaging,TPU COO label 100% Thermoplastic Polyurethane,1,3%,0.115,0.011
