-, -, Knit, -, -, 5.00%
-, -, Woven Label, -, -, 2.00%
-, -, Care Label, -, -, 2.00%
-, -, PO Label, -, -, 2.00%
Vuori Main, P0011, UPC Sticker, Vela Bag, $0.030, 2.00%
FGS - Plastic Hook for Swift Tack, P0038, Packaging, -, $0.010, 2.00%
Vela New, P0058, UPC Sticker, Vela Bag, $0.000, 0.00%
Vuori New Main, P0057, RFID, Sticker, $0.000, 0.00%
New Vuori Accessories UPC Tag-Non-Perforated, P0060, Hangtag, Paper, $0.044, 2.00%
Vuori Main, P0010, UPC Sticker, Hangtag, $0.030, 2.00%
Vela, P0012, Bag, Paper, $0.053, 2.00%


